Part,Quantity ,Price per Unit,Price,Source,Total (USD),347.35
Materials,,,,,,
m5 Fasteners,3,15,45,Amazon,,
m3 Fasteners,1,8,8,Amazon,,
m3 Countersunk Fasteners,1,10,10,Amazon,,
m2 Fasteners,1,8,8,Amazon,,
3s LiPo Battery,1,30,30,Amazon,,
Drive Motors,2,19,38,Amazon,,
Weapon Motor,1,19,19,Amazon,,
Receiver & Transmitter,1,60,60,Amazon,,
Drive ESC,2,13,26,Amazon,,
Weapon ESC,1,18,18,Amazon,,
Power Switch,1,8,8,Fingertech,,
Weapon CNC,1,77.35,77.35,JLCCNC,,
Please Use this Google Sheet to access the links: https://docs.google.com/spreadsheets/d/1--zgBOSP0_i03vK18lkabyClvUePNQSVIQF1D_rxac8/edit?usp=sharing,,,,,,

